Variable_name	Value
Com_show_fields	0
Com_show_function_code	0
Com_show_function_status	0
Com_show_grants	0
Com_show_keys	0
Com_show_master_status	0
Com_show_open_tables	0
Com_show_plugins	0
Com_show_privileges	0
Com_show_procedure_code	0
Com_show_procedure_status	0
Com_show_processlist	0
Com_show_profile	0
Com_show_profiles	0
Com_show_relaylog_events	0
Com_show_slave_hosts	0
Com_show_slave_status	0
Com_show_status	8
Com_show_storage_engines	0
Com_show_table_status	0
Com_show_tables	0
Com_show_triggers	0
Com_show_variables	0
Com_show_warnings	0
Com_show_create_user	0
Com_shutdown	0
Com_slave_start	0
Com_slave_stop	0
Com_group_replication_start	0
Com_group_replication_stop	0
Com_stmt_execute	0
Com_stmt_close	0
Com_stmt_fetch	0
Com_stmt_prepare	0
Com_stmt_reset	0
Com_stmt_send_long_data	0
Com_truncate	0
Com_uninstall_plugin	0
Com_unlock_tables	0
Com_update	3662
Com_update_multi	0
Com_xa_commit	0
Com_xa_end	0
Com_xa_prepare	0
Com_xa_recover	0
Com_xa_rollback	0
Com_xa_start	0
Com_stmt_reprepare	0
Connection_errors_accept	0
Connection_errors_internal	0
Connection_errors_max_connections	0
Connection_errors_peer_address	0
Connection_errors_select	0
Connection_errors_tcpwrap	0
Connections	261
Created_tmp_disk_tables	0
Created_tmp_files	6
Created_tmp_tables	1839
Delayed_errors	0
Delayed_insert_threads	0
Delayed_writes	0
Flush_commands	1
Handler_commit	1041791
Handler_delete	161466
Handler_discover	0
Handler_external_lock	1431481
Handler_mrr_init	0
Handler_prepare	653166
Handler_read_first	23
Handler_read_key	553743
Handler_read_last	0
Handler_read_next	41896595
Handler_read_prev	0
Handler_read_rnd	182627
Handler_read_rnd_next	190503
Handler_rollback	422
Handler_savepoint	0
Handler_savepoint_rollback	0
Handler_update	3651
Handler_write	347511
Innodb_buffer_pool_dump_status	Dumping of buffer pool not started
Innodb_buffer_pool_load_status	Buffer pool(s) load completed at 190124 16:36:12
Innodb_buffer_pool_resize_status	
Innodb_buffer_pool_pages_data	43373
Innodb_buffer_pool_bytes_data	710623232
Innodb_buffer_pool_pages_dirty	8719
Innodb_buffer_pool_bytes_dirty	142852096
Innodb_buffer_pool_pages_flushed	9540
Innodb_buffer_pool_pages_free	480393
Innodb_buffer_pool_pages_misc	490
Innodb_buffer_pool_pages_total	524256
Innodb_buffer_pool_read_ahead_rnd	0
Innodb_buffer_pool_read_ahead	0
Innodb_buffer_pool_read_ahead_evicted	0
Innodb_buffer_pool_read_requests	15755601
Innodb_buffer_pool_reads	42856
Innodb_buffer_pool_wait_free	0
Innodb_buffer_pool_write_requests	3322496
Innodb_data_fsyncs	6363
Innodb_data_pending_fsyncs	0
Innodb_data_pending_reads	0
Innodb_data_pending_writes	0
Innodb_data_read	702222848
Innodb_data_reads	42893
Innodb_data_writes	173538
Innodb_data_written	706542592
Innodb_dblwr_pages_written	9506
Innodb_dblwr_writes	1196
Innodb_log_waits	0
Innodb_log_write_requests	400548
Innodb_log_writes	162729
Innodb_os_log_fsyncs	411
Innodb_os_log_pending_fsyncs	0
Innodb_os_log_pending_writes	0
Innodb_os_log_written	394482176
Innodb_page_size	16384
Innodb_pages_created	518
Innodb_pages_read	42855
Innodb_pages_written	9540
Innodb_row_lock_current_waits	0
Innodb_row_lock_time	14489
Innodb_row_lock_time_avg	14
Innodb_row_lock_time_max	126
Innodb_row_lock_waits	998
Innodb_rows_deleted	161466
Innodb_rows_inserted	161466
Innodb_rows_read	42445560
Innodb_rows_updated	3651
Innodb_num_open_files	29
Innodb_truncated_status_writes	0
Innodb_available_undo_logs	128
Key_blocks_not_flushed	0
Key_blocks_unused	6698
Key_blocks_used	3
Key_read_requests	6
Key_reads	3
Key_write_requests	0
Key_writes	0
Locked_connects	0
Max_execution_time_exceeded	0
Max_execution_time_set	0
Max_execution_time_set_failed	0
Max_used_connections	128
Max_used_connections_time	2019-01-24 16:38:36
Mysqlx_address	::
Mysqlx_bytes_received	0
Mysqlx_bytes_sent	0
Mysqlx_connection_accept_errors	0
Mysqlx_connection_errors	0
Mysqlx_connections_accepted	0
Mysqlx_connections_closed	0
Mysqlx_connections_rejected	0
Mysqlx_crud_create_view	0
Mysqlx_crud_delete	0
Mysqlx_crud_drop_view	0
Mysqlx_crud_find	0
Mysqlx_crud_insert	0
Mysqlx_crud_modify_view	0
Mysqlx_crud_update	0
Mysqlx_errors_sent	0
Mysqlx_errors_unknown_message_type	0
Mysqlx_expect_close	0
Mysqlx_expect_open	0
Mysqlx_init_error	0
Mysqlx_notice_other_sent	0
Mysqlx_notice_warning_sent	0
Mysqlx_port	33060
Mysqlx_rows_sent	0
Mysqlx_sessions	0
Mysqlx_sessions_accepted	0
Mysqlx_sessions_closed	0
Mysqlx_sessions_fatal_error	0
Mysqlx_sessions_killed	0
Mysqlx_sessions_rejected	0
Mysqlx_socket	/var/run/mysqld/mysqlx.sock
Mysqlx_ssl_accepts	0
Mysqlx_ssl_active	
Mysqlx_ssl_cipher	
Mysqlx_ssl_cipher_list	
Mysqlx_ssl_ctx_verify_depth	0
Mysqlx_ssl_ctx_verify_mode	0
Mysqlx_ssl_finished_accepts	0
Mysqlx_ssl_server_not_after	
Mysqlx_ssl_server_not_before	
Mysqlx_ssl_verify_depth	
Mysqlx_ssl_verify_mode	
Mysqlx_ssl_version	
Mysqlx_stmt_create_collection	0
Mysqlx_stmt_create_collection_index	0
Mysqlx_stmt_disable_notices	0
Mysqlx_stmt_drop_collection	0
Mysqlx_stmt_drop_collection_index	0
Mysqlx_stmt_enable_notices	0
Mysqlx_stmt_ensure_collection	0
Mysqlx_stmt_execute_mysqlx	0
Mysqlx_stmt_execute_sql	0
Mysqlx_stmt_execute_xplugin	0
Mysqlx_stmt_kill_client	0
Mysqlx_stmt_list_clients	0
Mysqlx_stmt_list_notices	0
Mysqlx_stmt_list_objects	0
Mysqlx_stmt_ping	0
Mysqlx_worker_threads	2
Mysqlx_worker_threads_active	0
Not_flushed_delayed_rows	0
Ongoing_anonymous_transaction_count	0
Open_files	8
Open_streams	0
Open_table_definitions	118
Open_tables	557
Opened_files	162
Opened_table_definitions	118
Opened_tables	637
Performance_schema_accounts_lost	0
Performance_schema_cond_classes_lost	0
Performance_schema_cond_instances_lost	0
Performance_schema_digest_lost	0
Performance_schema_file_classes_lost	0
Performance_schema_file_handles_lost	0
Performance_schema_file_instances_lost	0
Performance_schema_hosts_lost	0
Performance_schema_index_stat_lost	0
Performance_schema_locker_lost	0
Performance_schema_memory_classes_lost	0
Performance_schema_metadata_lock_lost	0
Performance_schema_mutex_classes_lost	182
Performance_schema_mutex_instances_lost	0
Performance_schema_nested_statement_lost	0
Performance_schema_prepared_statements_lost	0
Performance_schema_program_lost	0
Performance_schema_rwlock_classes_lost	0
Performance_schema_rwlock_instances_lost	0
Performance_schema_session_connect_attrs_lost	0
Performance_schema_socket_classes_lost	0
Performance_schema_socket_instances_lost	0
Performance_schema_stage_classes_lost	0
Performance_schema_statement_classes_lost	0
Performance_schema_table_handles_lost	0
Performance_schema_table_instances_lost	0
Performance_schema_table_lock_stat_lost	0
Performance_schema_thread_classes_lost	0
Performance_schema_thread_instances_lost	0
Performance_schema_users_lost	0
Prepared_stmt_count	0
Qcache_free_blocks	0
Qcache_free_memory	0
Qcache_hits	0
Qcache_inserts	0
Qcache_lowmem_prunes	0
Qcache_not_cached	0
Qcache_queries_in_cache	0
Qcache_total_blocks	0
Queries	715905
Questions	715904
Rpl_semi_sync_master_clients	0
Rpl_semi_sync_master_net_avg_wait_time	0
Rpl_semi_sync_master_net_wait_time	0
Rpl_semi_sync_master_net_waits	0
Rpl_semi_sync_master_no_times	0
Rpl_semi_sync_master_no_tx	0
Rpl_semi_sync_master_status	OFF
Rpl_semi_sync_master_timefunc_failures	0
Rpl_semi_sync_master_tx_avg_wait_time	0
Rpl_semi_sync_master_tx_wait_time	0
Rpl_semi_sync_master_tx_waits	0
Rpl_semi_sync_master_wait_pos_backtraverse	0
Rpl_semi_sync_master_wait_sessions	0
Rpl_semi_sync_master_yes_tx	0
Rpl_semi_sync_slave_status	OFF
Select_full_join	0
Select_full_range_join	0
Select_range	369862
Select_range_check	0
Select_scan	26
Slave_open_temp_tables	0
Slow_launch_threads	0
Slow_queries	0
Sort_merge_passes	0
Sort_range	183100
Sort_rows	18448118
Sort_scan	1831
Ssl_accept_renegotiates	0
Ssl_accepts	0
Ssl_callback_cache_hits	0
Ssl_cipher	
Ssl_cipher_list	
Ssl_client_connects	0
Ssl_connect_renegotiates	0
Ssl_ctx_verify_depth	0
Ssl_ctx_verify_mode	0
Ssl_default_timeout	0
Ssl_finished_accepts	0
Ssl_finished_connects	0
Ssl_server_not_after	
Ssl_server_not_before	
Ssl_session_cache_hits	0
Ssl_session_cache_misses	0
Ssl_session_cache_mode	NONE
Ssl_session_cache_overflows	0
Ssl_session_cache_size	0
Ssl_session_cache_timeouts	0
Ssl_sessions_reused	0
Ssl_used_session_cache_entries	0
Ssl_verify_depth	0
Ssl_verify_mode	0
Ssl_version	
Table_locks_immediate	106
Table_locks_waited	0
Table_open_cache_hits	715104
Table_open_cache_misses	637
Table_open_cache_overflows	73
Tc_log_max_pages_used	0
Tc_log_page_size	0
Tc_log_page_waits	0
Threads_cached	127
Threads_connected	1
Threads_created	128
Threads_running	1
Uptime	206
Uptime_since_flush_status	206
Variable_name	Value
Aborted_clients	0
Aborted_connects	0
Binlog_cache_disk_use	0
Binlog_cache_use	326583
Binlog_stmt_cache_disk_use	0
Binlog_stmt_cache_use	0
Bytes_received	71592586
Bytes_sent	4583929258
Com_admin_commands	0
Com_assign_to_keycache	0
Com_alter_db	0
Com_alter_db_upgrade	0
Com_alter_event	0
Com_alter_function	0
Com_alter_instance	0
Com_alter_procedure	0
Com_alter_server	0
Com_alter_table	0
Com_alter_tablespace	0
Com_alter_user	0
Com_analyze	0
Com_begin	0
Com_binlog	0
Com_call_procedure	0
Com_change_db	0
Com_change_master	0
Com_change_repl_filter	0
Com_check	0
Com_checksum	0
Com_commit	0
Com_create_db	0
Com_create_event	0
Com_create_function	0
Com_create_index	0
Com_create_procedure	0
Com_create_server	0
Com_create_table	0
Com_create_trigger	0
Com_create_udf	0
Com_create_user	0
Com_create_view	0
Com_dealloc_sql	0
Com_delete	161888
Com_delete_multi	0
Com_do	0
Com_drop_db	0
Com_drop_event	0
Com_drop_function	0
Com_drop_index	0
Com_drop_procedure	0
Com_drop_server	0
Com_drop_table	0
Com_drop_trigger	0
Com_drop_user	0
Com_drop_view	0
Com_empty_query	0
Com_execute_sql	0
Com_explain_other	0
Com_flush	0
Com_get_diagnostics	0
Com_grant	0
Com_ha_close	0
Com_ha_open	0
Com_ha_read	0
Com_help	0
Com_insert	161888
Com_insert_select	0
Com_install_plugin	0
Com_kill	0
Com_load	0
Com_lock_tables	0
Com_optimize	0
Com_preload_keys	0
Com_prepare_sql	0
Com_purge	0
Com_purge_before_date	0
Com_release_savepoint	0
Com_rename_table	0
Com_rename_user	0
Com_repair	0
Com_replace	0
Com_replace_select	0
Com_reset	0
Com_resignal	0
Com_revoke	0
Com_revoke_all	0
Com_rollback	0
Com_rollback_to_savepoint	0
Com_savepoint	0
Com_select	388202
Com_set_option	0
Com_signal	0
Com_show_binlog_events	0
Com_show_binlogs	0
Com_show_charsets	0
Com_show_collations	0
Com_show_create_db	0
Com_show_create_event	0
Com_show_create_func	0
Com_show_create_proc	0
Com_show_create_table	0
Com_show_create_trigger	0
Com_show_databases	0
Com_show_engine_logs	0
Com_show_engine_mutex	0
Com_show_engine_status	0
Com_show_events	0
Com_show_errors	0
Com_show_fields	0
Com_show_function_code	0
Com_show_function_status	0
Com_show_grants	0
Com_show_keys	0
Com_show_master_status	0
Com_show_open_tables	0
Com_show_plugins	0
Com_show_privileges	0
Com_show_procedure_code	0
Com_show_procedure_status	0
Com_show_processlist	0
Com_show_profile	0
Com_show_profiles	0
Com_show_relaylog_events	0
Com_show_slave_hosts	0
Com_show_slave_status	0
Com_show_status	9
Com_show_storage_engines	0
Com_show_table_status	0
Com_show_tables	0
Com_show_triggers	0
Com_show_variables	0
Com_show_warnings	0
Com_show_create_user	0
Com_shutdown	0
Com_slave_start	0
Com_slave_stop	0
Com_group_replication_start	0
Com_group_replication_stop	0
Com_stmt_execute	0
Com_stmt_close	0
Com_stmt_fetch	0
Com_stmt_prepare	0
Com_stmt_reset	0
Com_stmt_send_long_data	0
Com_truncate	0
Com_uninstall_plugin	0
Com_unlock_tables	0
Com_update	3662
Com_update_multi	0
Com_xa_commit	0
Com_xa_end	0
Com_xa_prepare	0
Com_xa_recover	0
Com_xa_rollback	0
Com_xa_start	0
Com_stmt_reprepare	0
Connection_errors_accept	0
Connection_errors_internal	0
Connection_errors_max_connections	0
Connection_errors_peer_address	0
Connection_errors_select	0
Connection_errors_tcpwrap	0
Connections	262
Created_tmp_disk_tables	0
Created_tmp_files	6
Created_tmp_tables	1840
Delayed_errors	0
Delayed_insert_threads	0
Delayed_writes	0
Flush_commands	1
Handler_commit	1041791
Handler_delete	161466
Handler_discover	0
Handler_external_lock	1431483
Handler_mrr_init	0
Handler_prepare	653166
Handler_read_first	23
Handler_read_key	553743
Handler_read_last	0
Handler_read_next	41896595
Handler_read_prev	0
Handler_read_rnd	182627
Handler_read_rnd_next	191361
Handler_rollback	422
Handler_savepoint	0
Handler_savepoint_rollback	0
Handler_update	3651
Handler_write	347939
Innodb_buffer_pool_dump_status	Dumping of buffer pool not started
Innodb_buffer_pool_load_status	Buffer pool(s) load completed at 190124 16:36:12
Innodb_buffer_pool_resize_status	
Innodb_buffer_pool_pages_data	43373
Innodb_buffer_pool_bytes_data	710623232
Innodb_buffer_pool_pages_dirty	8719
Innodb_buffer_pool_bytes_dirty	142852096
Innodb_buffer_pool_pages_flushed	9540
Innodb_buffer_pool_pages_free	480393
Innodb_buffer_pool_pages_misc	490
Innodb_buffer_pool_pages_total	524256
Innodb_buffer_pool_read_ahead_rnd	0
Innodb_buffer_pool_read_ahead	0
Innodb_buffer_pool_read_ahead_evicted	0
Innodb_buffer_pool_read_requests	15755601
Innodb_buffer_pool_reads	42856
Innodb_buffer_pool_wait_free	0
Innodb_buffer_pool_write_requests	3322496
Innodb_data_fsyncs	6363
Innodb_data_pending_fsyncs	0
Innodb_data_pending_reads	0
Innodb_data_pending_writes	0
Innodb_data_read	702222848
Innodb_data_reads	42893
Innodb_data_writes	173538
Innodb_data_written	706542592
Innodb_dblwr_pages_written	9506
Innodb_dblwr_writes	1196
Innodb_log_waits	0
Innodb_log_write_requests	400548
Innodb_log_writes	162729
Innodb_os_log_fsyncs	411
Innodb_os_log_pending_fsyncs	0
Innodb_os_log_pending_writes	0
Innodb_os_log_written	394482176
Innodb_page_size	16384
Innodb_pages_created	518
Innodb_pages_read	42855
Innodb_pages_written	9540
Innodb_row_lock_current_waits	0
Innodb_row_lock_time	14489
Innodb_row_lock_time_avg	14
Innodb_row_lock_time_max	126
Innodb_row_lock_waits	998
Innodb_rows_deleted	161466
Innodb_rows_inserted	161466
Innodb_rows_read	42445560
Innodb_rows_updated	3651
Innodb_num_open_files	29
Innodb_truncated_status_writes	0
Innodb_available_undo_logs	128
Key_blocks_not_flushed	0
Key_blocks_unused	6698
Key_blocks_used	3
Key_read_requests	6
Key_reads	3
Key_write_requests	0
Key_writes	0
Locked_connects	0
Max_execution_time_exceeded	0
Max_execution_time_set	0
Max_execution_time_set_failed	0
Max_used_connections	128
Max_used_connections_time	2019-01-24 16:38:36
Mysqlx_address	::
Mysqlx_bytes_received	0
Mysqlx_bytes_sent	0
Mysqlx_connection_accept_errors	0
Mysqlx_connection_errors	0
Mysqlx_connections_accepted	0
Mysqlx_connections_closed	0
Mysqlx_connections_rejected	0
Mysqlx_crud_create_view	0
Mysqlx_crud_delete	0
Mysqlx_crud_drop_view	0
Mysqlx_crud_find	0
Mysqlx_crud_insert	0
Mysqlx_crud_modify_view	0
Mysqlx_crud_update	0
Mysqlx_errors_sent	0
Mysqlx_errors_unknown_message_type	0
Mysqlx_expect_close	0
Mysqlx_expect_open	0
Mysqlx_init_error	0
Mysqlx_notice_other_sent	0
Mysqlx_notice_warning_sent	0
Mysqlx_port	33060
Mysqlx_rows_sent	0
Mysqlx_sessions	0
Mysqlx_sessions_accepted	0
Mysqlx_sessions_closed	0
Mysqlx_sessions_fatal_error	0
Mysqlx_sessions_killed	0
Mysqlx_sessions_rejected	0
Mysqlx_socket	/var/run/mysqld/mysqlx.sock
Mysqlx_ssl_accepts	0
Mysqlx_ssl_active	
Mysqlx_ssl_cipher	
Mysqlx_ssl_cipher_list	
Mysqlx_ssl_ctx_verify_depth	0
Mysqlx_ssl_ctx_verify_mode	0
Mysqlx_ssl_finished_accepts	0
Mysqlx_ssl_server_not_after	
Mysqlx_ssl_server_not_before	
Mysqlx_ssl_verify_depth	
Mysqlx_ssl_verify_mode	
Mysqlx_ssl_version	
Mysqlx_stmt_create_collection	0
Mysqlx_stmt_create_collection_index	0
Mysqlx_stmt_disable_notices	0
Mysqlx_stmt_drop_collection	0
Mysqlx_stmt_drop_collection_index	0
Mysqlx_stmt_enable_notices	0
Mysqlx_stmt_ensure_collection	0
Mysqlx_stmt_execute_mysqlx	0
Mysqlx_stmt_execute_sql	0
Mysqlx_stmt_execute_xplugin	0
Mysqlx_stmt_kill_client	0
Mysqlx_stmt_list_clients	0
Mysqlx_stmt_list_notices	0
Mysqlx_stmt_list_objects	0
Mysqlx_stmt_ping	0
Mysqlx_worker_threads	2
Mysqlx_worker_threads_active	0
Not_flushed_delayed_rows	0
Ongoing_anonymous_transaction_count	0
Open_files	8
Open_streams	0
Open_table_definitions	118
Open_tables	558
Opened_files	162
Opened_table_definitions	118
Opened_tables	638
Performance_schema_accounts_lost	0
Performance_schema_cond_classes_lost	0
Performance_schema_cond_instances_lost	0
Performance_schema_digest_lost	0
Performance_schema_file_classes_lost	0
Performance_schema_file_handles_lost	0
Performance_schema_file_instances_lost	0
Performance_schema_hosts_lost	0
Performance_schema_index_stat_lost	0
Performance_schema_locker_lost	0
Performance_schema_memory_classes_lost	0
Performance_schema_metadata_lock_lost	0
Performance_schema_mutex_classes_lost	182
Performance_schema_mutex_instances_lost	0
Performance_schema_nested_statement_lost	0
Performance_schema_prepared_statements_lost	0
Performance_schema_program_lost	0
Performance_schema_rwlock_classes_lost	0
Performance_schema_rwlock_instances_lost	0
Performance_schema_session_connect_attrs_lost	0
Performance_schema_socket_classes_lost	0
Performance_schema_socket_instances_lost	0
Performance_schema_stage_classes_lost	0
Performance_schema_statement_classes_lost	0
Performance_schema_table_handles_lost	0
Performance_schema_table_instances_lost	0
Performance_schema_table_lock_stat_lost	0
Performance_schema_thread_classes_lost	0
Performance_schema_thread_instances_lost	0
Performance_schema_users_lost	0
Prepared_stmt_count	0
Qcache_free_blocks	0
Qcache_free_memory	0
Qcache_hits	0
Qcache_inserts	0
Qcache_lowmem_prunes	0
Qcache_not_cached	0
Qcache_queries_in_cache	0
Qcache_total_blocks	0
Queries	715908
Questions	715907
Rpl_semi_sync_master_clients	0
Rpl_semi_sync_master_net_avg_wait_time	0
Rpl_semi_sync_master_net_wait_time	0
Rpl_semi_sync_master_net_waits	0
Rpl_semi_sync_master_no_times	0
Rpl_semi_sync_master_no_tx	0
Rpl_semi_sync_master_status	OFF
Rpl_semi_sync_master_timefunc_failures	0
Rpl_semi_sync_master_tx_avg_wait_time	0
Rpl_semi_sync_master_tx_wait_time	0
Rpl_semi_sync_master_tx_waits	0
Rpl_semi_sync_master_wait_pos_backtraverse	0
Rpl_semi_sync_master_wait_sessions	0
Rpl_semi_sync_master_yes_tx	0
Rpl_semi_sync_slave_status	OFF
Select_full_join	0
Select_full_range_join	0
Select_range	369862
Select_range_check	0
Select_scan	28
Slave_open_temp_tables	0
Slow_launch_threads	0
Slow_queries	0
Sort_merge_passes	0
Sort_range	183100
Sort_rows	18448118
Sort_scan	1831
Ssl_accept_renegotiates	0
Ssl_accepts	0
Ssl_callback_cache_hits	0
Ssl_cipher	
Ssl_cipher_list	
Ssl_client_connects	0
Ssl_connect_renegotiates	0
Ssl_ctx_verify_depth	0
Ssl_ctx_verify_mode	0
Ssl_default_timeout	0
Ssl_finished_accepts	0
Ssl_finished_connects	0
Ssl_server_not_after	
Ssl_server_not_before	
Ssl_session_cache_hits	0
Ssl_session_cache_misses	0
Ssl_session_cache_mode	NONE
Ssl_session_cache_overflows	0
Ssl_session_cache_size	0
Ssl_session_cache_timeouts	0
Ssl_sessions_reused	0
Ssl_used_session_cache_entries	0
Ssl_verify_depth	0
Ssl_verify_mode	0
Ssl_version	
Table_locks_immediate	107
Table_locks_waited	0
Table_open_cache_hits	715104
Table_open_cache_misses	638
Table_open_cache_overflows	73
Tc_log_max_pages_used	0
Tc_log_page_size	0
Tc_log_page_waits	0
Threads_cached	127
Threads_connected	1
Threads_created	128
Threads_running	1
Uptime	206
Uptime_since_flush_status	206
Variable_name	Value
Aborted_clients	0
Aborted_connects	0
Binlog_cache_disk_use	0
Binlog_cache_use	515043
Binlog_stmt_cache_disk_use	0
Binlog_stmt_cache_use	0
Bytes_received	114153692
Bytes_sent	7446206554
Com_admin_commands	0
Com_assign_to_keycache	0
Com_alter_db	0
Com_alter_db_upgrade	0
Com_alter_event	0
Com_alter_function	0
Com_alter_instance	0
Com_alter_procedure	0
Com_alter_server	0
Com_alter_table	0
Com_alter_tablespace	0
Com_alter_user	0
Com_analyze	0
Com_begin	0
Com_binlog	0
Com_call_procedure	0
Com_change_db	0
Com_change_master	0
Com_change_repl_filter	0
Com_check	0
Com_checksum	0
Com_commit	0
Com_create_db	0
Com_create_event	0
Com_create_function	0
Com_create_index	0
Com_create_procedure	0
Com_create_server	0
Com_create_table	0
Com_create_trigger	0
Com_create_udf	0
Com_create_user	0
Com_create_view	0
Com_dealloc_sql	0
Com_delete	255375
Com_delete_multi	0
Com_do	0
Com_drop_db	0
Com_drop_event	0
Com_drop_function	0
Com_drop_index	0
Com_drop_procedure	0
Com_drop_server	0
Com_drop_table	0
Com_drop_trigger	0
Com_drop_user	0
Com_drop_view	0
Com_empty_query	0
Com_execute_sql	0
Com_explain_other	0
Com_flush	0
Com_get_diagnostics	0
Com_grant	0
Com_ha_close	0
Com_ha_open	0
Com_ha_read	0
Com_help	0
Com_insert	255375
Com_insert_select	0
Com_install_plugin	0
Com_kill	0
Com_load	0
Com_lock_tables	0
Com_optimize	0
Com_preload_keys	0
Com_prepare_sql	0
Com_purge	0
Com_purge_before_date	0
Com_release_savepoint	0
Com_rename_table	0
Com_rename_user	0
Com_repair	0
Com_replace	0
Com_replace_select	0
Com_reset	0
Com_resignal	0
Com_revoke	0
Com_revoke_all	0
Com_rollback	0
Com_rollback_to_savepoint	0
Com_savepoint	0
Com_select	630943
Com_set_option	0
Com_signal	0
Com_show_binlog_events	0
Com_show_binlogs	0
Com_show_charsets	0
Com_show_collations	0
Com_show_create_db	0
Com_show_create_event	0
Com_show_create_func	0
Com_show_create_proc	0
Com_show_create_table	0
Com_show_create_trigger	0
Com_show_databases	0
Com_show_engine_logs	0
Com_show_engine_mutex	0
Com_show_engine_status	0
Com_show_events	0
Com_show_errors	0
Com_show_fields	0
Com_show_function_code	0
Com_show_function_status	0
Com_show_grants	0
Com_show_keys	0
Com_show_master_status	0
Com_show_open_tables	0
Com_show_plugins	0
Com_show_privileges	0
Com_show_procedure_code	0
Com_show_procedure_status	0
Com_show_processlist	0
Com_show_profile	0
Com_show_profiles	0
Com_show_relaylog_events	0
Com_show_slave_hosts	0
Com_show_slave_status	0
Com_show_status	10
Com_show_storage_engines	0
Com_show_table_status	0
Com_show_tables	0
Com_show_triggers	0
Com_show_variables	0
Com_show_warnings	0
Com_show_create_user	0
Com_shutdown	0
Com_slave_start	0
Com_slave_stop	0
Com_group_replication_start	0
Com_group_replication_stop	0
Com_stmt_execute	0
Com_stmt_close	0
Com_stmt_fetch	0
Com_stmt_prepare	0
Com_stmt_reset	0
Com_stmt_send_long_data	0
Com_truncate	0
Com_uninstall_plugin	0
Com_unlock_tables	0
Com_update	5952
Com_update_multi	0
Com_xa_commit	0
Com_xa_end	0
Com_xa_prepare	0
Com_xa_recover	0
Com_xa_rollback	0
Com_xa_start	0
Com_stmt_reprepare	0
Connection_errors_accept	0
Connection_errors_internal	0
Connection_errors_max_connections	0
Connection_errors_peer_address	0
Connection_errors_select	0
Connection_errors_tcpwrap	0
Connections	519
Created_tmp_disk_tables	0
Created_tmp_files	6
Created_tmp_tables	2986
Delayed_errors	0
Delayed_insert_threads	0
Delayed_writes	0
Flush_commands	1
Handler_commit	1661857
Handler_delete	254555
Handler_discover	0
Handler_external_lock	2295493
Handler_mrr_init	0
Handler_prepare	1030086
Handler_read_first	23
Handler_read_key	892260
Handler_read_last	0
Handler_read_next	64936963
Handler_read_prev	0
Handler_read_rnd	296682
Handler_read_rnd_next	307419
Handler_rollback	820
Handler_savepoint	0
Handler_savepoint_rollback	0
Handler_update	5933
Handler_write	555909
Innodb_buffer_pool_dump_status	Dumping of buffer pool not started
Innodb_buffer_pool_load_status	Buffer pool(s) load completed at 190124 16:36:12
Innodb_buffer_pool_resize_status	
Innodb_buffer_pool_pages_data	43941
Innodb_buffer_pool_bytes_data	719929344
Innodb_buffer_pool_pages_dirty	8586
Innodb_buffer_pool_bytes_dirty	140673024
Innodb_buffer_pool_pages_flushed	16923
Innodb_buffer_pool_pages_free	479759
Innodb_buffer_pool_pages_misc	556
Innodb_buffer_pool_pages_total	524256
Innodb_buffer_pool_read_ahead_rnd	0
Innodb_buffer_pool_read_ahead	0
Innodb_buffer_pool_read_ahead_evicted	0
Innodb_buffer_pool_read_requests	25128727
Innodb_buffer_pool_reads	43084
Innodb_buffer_pool_wait_free	0
Innodb_buffer_pool_write_requests	5345674
Innodb_data_fsyncs	10098
Innodb_data_pending_fsyncs	0
Innodb_data_pending_reads	0
Innodb_data_pending_writes	0
Innodb_data_read	705958400
Innodb_data_reads	43121
Innodb_data_writes	255965
Innodb_data_written	1159845888
Innodb_dblwr_pages_written	16889
Innodb_dblwr_writes	1700
Innodb_log_waits	0
Innodb_log_write_requests	639628
Innodb_log_writes	237253
Innodb_os_log_fsyncs	594
Innodb_os_log_pending_fsyncs	0
Innodb_os_log_pending_writes	0
Innodb_os_log_written	605852160
Innodb_page_size	16384
Innodb_pages_created	858
Innodb_pages_read	43083
Innodb_pages_written	16923
Innodb_row_lock_current_waits	0
Innodb_row_lock_time	27489
Innodb_row_lock_time_avg	13
Innodb_row_lock_time_max	126
Innodb_row_lock_waits	1991
Innodb_rows_deleted	254555
Innodb_rows_inserted	254555
Innodb_rows_read	65817896
Innodb_rows_updated	5933
Innodb_num_open_files	29
Innodb_truncated_status_writes	0
Innodb_available_undo_logs	128
Key_blocks_not_flushed	0
Key_blocks_unused	6698
Key_blocks_used	3
Key_read_requests	6
Key_reads	3
Key_write_requests	0
Key_writes	0
Locked_connects	0
Max_execution_time_exceeded	0
Max_execution_time_set	0
Max_execution_time_set_failed	0
Max_used_connections	256
Max_used_connections_time	2019-01-24 16:39:15
Mysqlx_address	::
Mysqlx_bytes_received	0
Mysqlx_bytes_sent	0
Mysqlx_connection_accept_errors	0
Mysqlx_connection_errors	0
Mysqlx_connections_accepted	0
Mysqlx_connections_closed	0
Mysqlx_connections_rejected	0
Mysqlx_crud_create_view	0
Mysqlx_crud_delete	0
Mysqlx_crud_drop_view	0
Mysqlx_crud_find	0
Mysqlx_crud_insert	0
Mysqlx_crud_modify_view	0
Mysqlx_crud_update	0
Mysqlx_errors_sent	0
Mysqlx_errors_unknown_message_type	0
Mysqlx_expect_close	0
Mysqlx_expect_open	0
Mysqlx_init_error	0
Mysqlx_notice_other_sent	0
